Spectrum,Label,1974,1975,1976,1977,1978,1980,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1993,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2021,2022
-100,.i: Inapplicable,0,0,0,0,0,0,0,795,0,0,0,0,0,0,0,0,0,0,0,0,0,1393,1472,0,0,0,0,0,0,0,15,1
-99,.n: No answer,4,12,5,6,27,17,17,3,11,9,2,42,9,7,4,4,9,12,6,8,24,5,5,23,13,10,13,24,30,22,3,27
-98,.d: Do not Know/Cannot Choose,70,81,93,71,70,22,104,31,52,63,67,98,56,88,53,54,49,101,155,133,149,36,26,154,77,61,87,65,81,79,10,73
-97,.s: Skipped on Web,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,17
1,Extremely liberal,22,46,31,37,22,36,48,16,29,35,25,47,34,40,36,37,30,71,59,64,107,47,46,139,69,76,81,94,136,122,207,192
2,Liberal,201,179,187,169,142,121,199,67,133,163,132,234,176,178,141,154,180,328,303,357,308,143,120,524,240,259,244,304,350,278,623,486
3,Slightly liberal,207,196,186,214,241,208,267,98,177,171,176,226,189,191,179,214,203,378,334,351,285,159,153,517,221,232,208,263,310,256,490,400
4,"Moderate, middle of the road",564,559,559,564,549,582,694,319,568,566,579,641,514,566,476,584,575,1049,1045,986,1054,522,497,1683,740,746,713,989,1032,855,1377,1245
5,Slightly conservative,221,232,221,251,263,258,235,142,276,271,242,278,246,246,240,218,264,472,451,432,390,209,214,618,268,265,268,334,382,283,476,430
6,Conservative,160,150,190,179,188,180,229,108,186,214,209,208,225,194,192,212,254,478,458,415,411,210,223,685,327,315,292,358,426,354,617,514
7,Extremely conservative,35,35,27,39,30,44,67,20,41,42,38,45,32,27,51,40,42,103,93,86,89,41,56,167,68,80,68,107,120,99,174,159
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
